,Codi_Barri,Codi_Districte,AEB,Seccio_Censal,Valor,SEXE
339,48,8.0,167.36363636363637,8069.090909090909,15398.0,1.5
340,49,8.0,169.0,8062.0,6884.0,1.5
341,50,8.0,170.5,8069.5,16229.0,1.5
342,51,8.0,172.625,8078.5,12578.0,1.5
343,52,8.0,175.7,8092.5,26855.0,1.5
344,53,8.0,178.0,8105.0,7620.0,1.5
345,54,8.0,179.0,8108.5,2931.0,1.5
346,55,8.0,180.0,8112.5,10864.0,1.5
347,56,8.0,181.0,8116.0,1407.0,1.5
348,57,9.0,182.0,9003.0,10337.0,1.5
349,58,9.0,183.0,9006.5,2604.0,1.5
350,59,9.0,184.71428571428572,9011.42857142857,13126.0,1.5
351,60,9.0,189.23076923076923,9035.0,57961.0,1.5
352,61,9.0,194.5,9068.6,29489.0,1.5
353,62,9.0,197.55555555555554,9078.0,14557.0,1.5
354,63,9.0,199.46153846153845,9089.0,22279.0,1.5
355,64,10.0,202.64,10013.0,38912.0,1.5
356,65,10.0,205.88235294117646,10045.29411764706,27183.0,1.5
357,66,10.0,208.77777777777777,10046.0,15713.0,1.5
358,67,10.0,210.2,10053.0,9348.0,1.5
359,68,10.0,213.85,10065.5,34170.0,1.5
360,69,10.0,216.71428571428572,10123.0,13625.0,1.5
361,70,10.0,220.3846153846154,10087.0,24847.0,1.5
362,71,10.0,224.25,10110.5,21116.0,1.5
363,72,10.0,227.27777777777777,10113.5,26168.0,1.5
364,73,10.0,231.23809523809524,10133.0,28883.0,1.5
