,Codi_Barri,Any,Codi_Districte,Seccio_Censal,Index_Gini
168,23,2017.0,5.0,11.5,38.95
169,24,2017.0,5.0,25.0,41.27272727272727
170,25,2017.0,5.0,39.5,38.97777777777778
171,26,2017.0,5.0,64.0,40.751612903225805
172,27,2017.0,5.0,89.0,36.09473684210526
173,28,2017.0,6.0,6.636363636363637,34.74545454545454
174,29,2017.0,6.0,15.0,33.3
175,30,2017.0,6.0,22.5,33.08
176,31,2017.0,6.0,45.5,34.52777777777778
177,32,2017.0,6.0,76.0,32.376
178,33,2017.0,7.0,10.0,31.336842105263155
179,34,2017.0,7.0,23.0,32.57142857142857
180,35,2017.0,7.0,39.0,32.54
181,36,2017.0,7.0,55.0,31.785714285714285
182,37,2017.0,7.0,69.5,29.3
183,38,2017.0,7.0,84.5,30.3375
184,39,2017.0,7.0,91.0,30.52
185,40,2017.0,7.0,95.5,29.65
186,41,2017.0,7.0,99.5,28.25
187,42,2017.0,7.0,102.0,31.7
188,43,2017.0,7.0,113.0,30.31904761904762
189,44,2017.0,8.0,10.0,30.73157894736842
190,45,2017.0,8.0,28.5,30.116666666666667
191,46,2017.0,8.0,42.5,30.98
192,47,2017.0,8.0,48.5,31.75
193,48,2017.0,8.0,69.0909090909091,25.99090909090909
194,49,2017.0,8.0,62.0,25.32
195,50,2017.0,8.0,69.5,31.3
196,51,2017.0,8.0,78.5,31.0
197,52,2017.0,8.0,92.5,29.76
198,53,2017.0,8.0,105.0,30.0
199,54,2017.0,8.0,108.5,31.450000000000003
200,55,2017.0,8.0,112.5,32.833333333333336
201,56,2017.0,8.0,116.0,32.0
202,57,2017.0,9.0,3.0,32.160000000000004
203,58,2017.0,9.0,6.5,30.35
204,59,2017.0,9.0,11.428571428571429,29.442857142857143
205,60,2017.0,9.0,35.0,28.343589743589746
206,61,2017.0,9.0,68.6,29.369999999999997
207,62,2017.0,9.0,78.0,30.91111111111111
208,63,2017.0,9.0,89.0,30.56153846153846
209,64,2017.0,10.0,13.0,32.14
210,65,2017.0,10.0,45.294117647058826,30.594117647058823
211,66,2017.0,10.0,46.0,32.400000000000006
212,67,2017.0,10.0,53.0,33.44
213,68,2017.0,10.0,65.5,32.394999999999996
214,69,2017.0,10.0,123.0,32.357142857142854
215,70,2017.0,10.0,87.0,30.284615384615385
216,71,2017.0,10.0,110.5,30.358333333333334
217,72,2017.0,10.0,113.5,27.866666666666667
218,73,2017.0,10.0,133.0,27.74761904761905
219,1,2018.0,1.0,11.0,35.30952380952381
220,2,2018.0,1.0,26.77777777777778,40.72222222222222
221,3,2018.0,1.0,37.0,34.68181818181818
222,4,2018.0,1.0,49.0,38.84615384615385
223,5,2018.0,2.0,10.5,33.08
224,6,2018.0,2.0,37.5,33.94117647058823
225,7,2018.0,2.0,69.0,38.244827586206895
226,8,2018.0,2.0,96.5,37.419230769230765
227,9,2018.0,2.0,129.5,34.6
228,10,2018.0,2.0,161.5,34.295833333333334
229,11,2018.0,3.0,12.5,34.104166666666664
230,12,2018.0,3.0,25.0,31.1
231,13,2018.0,3.0,64.17647058823529,28.935294117647057
232,14,2018.0,3.0,43.0,31.657142857142855
233,15,2018.0,3.0,51.5,33.82
234,16,2018.0,3.0,63.0,29.846153846153847
235,17,2018.0,3.0,77.5,32.2375
236,18,2018.0,3.0,100.0,32.203448275862065
237,19,2018.0,4.0,18.0,34.15142857142857
238,20,2018.0,4.0,45.266666666666666,32.14666666666667
239,21,2018.0,4.0,53.0,42.01428571428572
240,22,2018.0,5.0,2.0,38.43333333333333
241,23,2018.0,5.0,11.5,40.043749999999996
242,24,2018.0,5.0,25.0,41.190909090909095
243,25,2018.0,5.0,39.5,39.333333333333336
244,26,2018.0,5.0,64.0,41.18709677419355
245,27,2018.0,5.0,89.0,35.305263157894736
246,28,2018.0,6.0,6.636363636363637,34.36363636363637
247,29,2018.0,6.0,15.0,33.32
248,30,2018.0,6.0,22.5,32.8
249,31,2018.0,6.0,45.5,34.38333333333333
250,32,2018.0,6.0,76.0,32.424
251,33,2018.0,7.0,10.0,31.242105263157896
252,34,2018.0,7.0,23.0,31.885714285714283
253,35,2018.0,7.0,39.0,32.251999999999995
254,36,2018.0,7.0,55.0,31.357142857142858
255,37,2018.0,7.0,69.5,29.19090909090909
256,38,2018.0,7.0,84.5,30.0
257,39,2018.0,7.0,91.0,30.160000000000004
258,40,2018.0,7.0,95.5,27.975
259,41,2018.0,7.0,99.5,26.925
260,42,2018.0,7.0,102.0,29.8
261,43,2018.0,7.0,113.0,29.976190476190474
262,44,2018.0,8.0,10.0,30.36315789473684
263,45,2018.0,8.0,28.5,29.866666666666667
264,46,2018.0,8.0,42.5,30.68
265,47,2018.0,8.0,48.5,31.6
266,48,2018.0,8.0,69.0909090909091,26.154545454545453
267,49,2018.0,8.0,62.0,25.04
268,50,2018.0,8.0,69.5,31.02
269,51,2018.0,8.0,78.5,30.575
270,52,2018.0,8.0,92.5,29.305
271,53,2018.0,8.0,105.0,30.3
272,54,2018.0,8.0,108.5,30.9
273,55,2018.0,8.0,112.5,31.566666666666666
274,56,2018.0,8.0,116.0,31.4
275,57,2018.0,9.0,3.0,31.8
276,58,2018.0,9.0,6.5,29.65
277,59,2018.0,9.0,11.428571428571429,29.542857142857144
278,60,2018.0,9.0,35.0,28.012820512820515
279,61,2018.0,9.0,68.6,29.145
280,62,2018.0,9.0,78.0,30.366666666666667
281,63,2018.0,9.0,89.0,30.053846153846152
282,64,2018.0,10.0,13.0,31.56
283,65,2018.0,10.0,45.294117647058826,30.28235294117647
284,66,2018.0,10.0,46.0,32.12222222222223
285,67,2018.0,10.0,53.0,33.04
