,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
132,60,2016.0,6.5,9.0,36349.0,8.75
133,61,2016.0,6.5,9.0,18434.0,8.008333333333333
134,62,2016.0,6.5,9.0,8807.0,8.141666666666667
135,63,2016.0,6.5,9.0,13939.0,7.941666666666666
136,64,2016.0,6.5,10.0,24890.0,8.35
137,65,2016.0,6.5,10.0,18072.0,7.925
138,66,2016.0,6.5,10.0,10160.0,6.866666666666667
139,67,2016.0,6.5,10.0,6512.0,7.0
140,68,2016.0,6.5,10.0,22384.0,7.0
141,69,2016.0,6.5,10.0,8657.0,8.441666666666666
142,70,2016.0,6.5,10.0,14986.0,11.15
143,71,2016.0,6.5,10.0,13815.0,8.191666666666666
144,72,2016.0,6.5,10.0,15889.0,9.924999999999999
145,73,2016.0,6.5,10.0,17329.0,10.291666666666666
146,1,2017.0,6.5,1.0,35744.0,9.516666666666667
147,2,2017.0,6.5,1.0,12570.0,6.966666666666666
148,3,2017.0,6.5,1.0,10968.0,9.191666666666666
149,4,2017.0,6.5,1.0,17293.0,8.033333333333333
150,5,2017.0,6.5,2.0,21326.0,6.008333333333333
151,6,2017.0,6.5,2.0,34357.0,6.075
152,7,2017.0,6.5,2.0,29162.0,4.641666666666667
153,8,2017.0,6.5,2.0,28435.0,5.25
154,9,2017.0,6.5,2.0,38310.0,5.833333333333333
155,10,2017.0,6.5,2.0,25525.0,6.358333333333333
156,11,2017.0,6.5,3.0,28466.0,8.091666666666667
157,12,2017.0,6.5,3.0,780.0,14.700000000000001
158,13,2017.0,6.5,3.0,20095.0,8.725
159,14,2017.0,6.5,3.0,6928.0,8.4
160,15,2017.0,6.5,3.0,10996.0,6.633333333333333
161,16,2017.0,6.5,3.0,12099.0,7.008333333333333
162,17,2017.0,6.5,3.0,15888.0,5.675
163,18,2017.0,6.5,3.0,27428.0,6.308333333333334
164,19,2017.0,6.5,4.0,28485.0,6.2
165,20,2017.0,6.5,4.0,14686.0,6.075
166,21,2017.0,6.5,4.0,7084.0,3.0500000000000003
167,22,2017.0,6.5,5.0,3082.0,2.908333333333333
168,23,2017.0,6.5,5.0,15018.0,3.091666666666667
169,24,2017.0,6.5,5.0,10052.0,3.4583333333333335
170,25,2017.0,6.5,5.0,15690.0,3.7416666666666667
171,26,2017.0,6.5,5.0,29542.0,3.65
172,27,2017.0,6.5,5.0,18883.0,5.166666666666667
173,28,2017.0,6.5,6.0,9744.0,6.483333333333333
174,29,2017.0,6.5,6.0,4839.0,5.45
175,30,2017.0,6.5,6.0,8170.0,6.441666666666666
176,31,2017.0,6.5,6.0,34792.0,6.016666666666667
177,32,2017.0,6.5,6.0,22017.0,6.075
