,Codi_Barri,Any,Codi_Districte,AEB,Seccio_Censal,Valor,NACIONALITAT_G
32,33,2015.0,7.0,135.85714285714286,7009.809523809524,312.0,1.1904761904761905
33,34,2015.0,7.0,138.0,7022.5,74.0,1.4
34,35,2015.0,7.0,140.9655172413793,7038.862068965517,356.0,1.2413793103448276
35,36,2015.0,7.0,144.5,7054.875,95.0,1.125
36,37,2015.0,7.0,147.36363636363637,7069.5,272.0,1.0
37,38,2015.0,7.0,149.0,7084.5,112.0,1.0
38,39,2015.0,7.0,150.0,7090.833333333333,96.0,1.3333333333333333
39,40,2015.0,7.0,151.0,7095.2,112.0,1.4
40,41,2015.0,7.0,152.0,7099.5,43.0,1.0
41,42,2015.0,7.0,153.0,7102.0,0.0,1.0
42,43,2015.0,7.0,154.86363636363637,7113.454545454545,299.0,1.0909090909090908
43,44,2015.0,8.0,158.47826086956522,8010.086956521739,230.0,1.2608695652173914
44,45,2015.0,8.0,162.0909090909091,8029.409090909091,263.0,1.3181818181818181
45,46,2015.0,8.0,164.36363636363637,8042.090909090909,191.0,1.1818181818181819
46,47,2015.0,8.0,166.0,8048.5,36.0,1.0
47,48,2015.0,8.0,167.35714285714286,8066.0,180.0,1.2857142857142858
48,49,2015.0,8.0,169.0,8062.0,59.0,1.0
49,50,2015.0,8.0,170.41666666666666,8068.833333333333,112.0,1.25
50,51,2015.0,8.0,172.7,8079.0,105.0,1.4
51,52,2015.0,8.0,175.75,8092.958333333333,239.0,1.25
52,53,2015.0,8.0,178.0,8105.375,118.0,1.625
53,54,2015.0,8.0,179.0,8108.5,21.0,1.0
54,55,2015.0,8.0,180.0,8112.428571428572,67.0,1.1428571428571428
55,56,2015.0,8.0,181.0,8116.0,35.0,1.0
56,57,2015.0,9.0,182.0,9002.888888888889,62.0,1.7777777777777777
57,58,2015.0,9.0,183.0,9006.5,25.0,1.0
58,59,2015.0,9.0,184.66666666666666,9011.444444444445,99.0,1.3333333333333333
59,60,2015.0,9.0,189.3111111111111,9035.355555555556,473.0,1.1777777777777778
60,61,2015.0,9.0,194.44,9067.6,268.0,1.36
61,62,2015.0,9.0,197.46153846153845,9077.692307692309,132.0,1.4615384615384615
62,63,2015.0,9.0,199.42105263157896,9088.631578947368,203.0,1.6842105263157894
