"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2009-2013",7,"Horta-Guinardó",34,"Can Baró",427
"2009-2013",7,"Horta-Guinardó",35,"el Guinardó",1697
"2009-2013",7,"Horta-Guinardó",36,"la Font d'en Fargues",491
"2009-2013",7,"Horta-Guinardó",37,"el Carmel",1265
"2009-2013",7,"Horta-Guinardó",38,"la Teixonera",489
"2009-2013",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",381
"2009-2013",7,"Horta-Guinardó",40,"Montbau",582
"2009-2013",7,"Horta-Guinardó",41,"la Vall d'Hebron",256
"2009-2013",7,"Horta-Guinardó",42,"la Clota",30
"2009-2013",7,"Horta-Guinardó",43,"Horta",1531
"2009-2013",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1376
"2009-2013",8,"Nou Barris",45,"Porta",1160
"2009-2013",8,"Nou Barris",46,"el Turó de la Peira",893
"2009-2013",8,"Nou Barris",47,"Can Peguera",143
"2009-2013",8,"Nou Barris",48,"la Guineueta",834
"2009-2013",8,"Nou Barris",49,"Canyelles",301
"2009-2013",8,"Nou Barris",50,"les Roquetes",638
"2009-2013",8,"Nou Barris",51,"Verdun",609
"2009-2013",8,"Nou Barris",52,"la Prosperitat",1150
"2009-2013",8,"Nou Barris",53,"la Trinitat Nova",509
"2009-2013",8,"Nou Barris",54,"Torre Baró",118
"2009-2013",8,"Nou Barris",55,"Ciutat Meridiana",314
"2009-2013",8,"Nou Barris",56,"Vallbona",89
"2009-2013",9,"Sant Andreu",57,"la Trinitat Vella",285
"2009-2013",9,"Sant Andreu",58,"Baró de Viver",118
"2009-2013",9,"Sant Andreu",59,"el Bon Pastor",507
"2009-2013",9,"Sant Andreu",60,"Sant Andreu",2318
"2009-2013",9,"Sant Andreu",61,"la Sagrera",1176
"2009-2013",9,"Sant Andreu",62,"el Congrés i els Indians",787
"2009-2013",9,"Sant Andreu",63,"Navas",931
